VPN,Category,Producer Name,Product Name,Container,FOB,Volume Amount,Volume Unit,Pack Size,Style,ABV,Country,Coupler,UPC/EAN,COLA,Cases per Layer,Cases per Pallet
16839,BEER,Freigeist,/Ritterguts Broyhan 6/750mL,,$110.00 ,750,Ml,6,"Historic style from Hanover: light, wine-like",6,Germany,,,,16,80
16843,BEER,Freigeist,/Stillwater/Meinklang Rosler 2019 20L PolyKeg -- last 2!,PET,$230.00 ,20,L,1,Sour ale with spon ferm Rosler grapes,6,Germany,A-Type,,,20,40
16842,BEER,Freigeist,/Stillwater/Meinklang Welschriesling 2019 20L PolyKeg,PET,$230.00 ,20,L,1,Sour ale with spon ferm Welschriesling grapes,6,Germany,A-Type,,,20,40
16837,BEER,Freigeist,/Stillwater/Weingut Spatburgunder 2017 6/750mL,,$115.00 ,750,Ml,6,Spontaneously fermented ale with Bacchus grapes,9.3,Germany,,,,16,80
14923,BEER,Gode,Methode Originale Biere Brut 6x750ml,,$135.00 ,750,Ml,6,"Elegant, unique Champagne-method beer",11.5,Belgium,,,2.2297E+13,16,80
17044,BEER,Haandbryggeriet,1349 Black Ale 24x330ml,,$150.00 ,330,Ml,24,Brewed with the iconic Black Metal band 1349,13.49,Norway,,,,9,90
17053,BEER,Haandbryggeriet,1984 Baltic Porter 20L KeyKeg,PET,$180.00 ,20,L,1,"Baltic porter, collab with The Garden",10.6,Norway,KeyKeg,,,20,40
17051,BEER,Haandbryggeriet,A Dashing Something 6x750ml,,$120.00 ,750,Ml,6,"15-yr jubilee cuvee w seabuckthorn, plum, and rasp",7,Norway,,,,10,90
17058,BEER,Haandbryggeriet,Bestefar 24x440ml,,$115.00 ,440,Ml,24,"Hearty festive ale, meant to be enjoyed fireside!",9,Norway,,,,7,56
17040,BEER,Haandbryggeriet,Dark Force 24x440ml,,$110.00 ,440,Ml,24,"Imperial wheat stout from a galaxy far, far away!",8.5,Norway,,,,7,56
17056,BEER,Haandbryggeriet,Double Trouble 20L KeyKeg,PET,$190.00 ,20,L,1,"Malty, chocolate-y, lightly roasted doppelbock!",8,Norway,KeyKeg,,,20,40
17047,BEER,Haandbryggeriet,Epilogue 12x500ml,,$190.00 ,500,Ml,12,Buffalo Trace Bourbon barrel aged Imperial Stout,14,Norway,,,,1,1
17048,BEER,Haandbryggeriet,Hafgufa: Heart of Darkness #2 12x330ml,,$200.00 ,330,Ml,12,Rum BA imperial stout with coffee and hazelnuts,13,Norway,,,,20,120
17042,BEER,Haandbryggeriet,Norwegian Wood 24x440ml,,$90.00 ,440,Ml,24,Traditional Norwegian smoked lager with juniper,6.5,Norway,,,,7,56
17052,BEER,Haandbryggeriet,Of Wood & Smoke 20L KeyKeg,PET,$200.00 ,20,L,1,Aquavit BA smoked lager with fresh juniper,8,Norway,KeyKeg,,,20,40
17041,BEER,Haandbryggeriet,Of Wood & Smoke 24x440ml,,$110.00 ,440,Ml,24,Aquavit BA smoked lager with fresh juniper,8,Norway,,,,7,56
17049,BEER,Haandbryggeriet,Raspberry Fields Forever 12x375ml,,$110.00 ,375,Ml,12,Nordic cellar sour blended with raspberries,7,Norway,,,,20,120
17043,BEER,Haandbryggeriet,Sanchez Coffee Stout 24x440ml,,$110.00 ,440,Ml,24,"Collab with Ægir, made w/ organic Peruvian coffee",7,Norway,,,,7,56
17046,BEER,Haandbryggeriet,Stoking the Furnace 12x500ml,,$110.00 ,500,Ml,12,Smoked imperial porter,12.7,Norway,,,,1,1
17057,BEER,Haandbryggeriet,Trolls vs Goats 20L KeyKeg -- last 2!,PET,$180.00 ,20,L,1,German/Norwegian-inspired Aquavit BA triple bock,11.6,Norway,KeyKeg,,,20,40
17050,BEER,Haandbryggeriet,/Brekeriet Brothers in Arms 12x375ml,,$120.00 ,375,Ml,12,Nordic sour w/ hibiscus and sea buckthorn,7,Norway,,,,20,120
16314,BEER,Het Boerenerf,Biet 6x750ml,,$130.00 ,750,Ml,6,"Blend of lambic, beet from their farm, and cider",6,Belgium,,5.43E+12,2.3222E+13,20,80
16321,BEER,Het Boerenerf,Cannonau 6x750ml,,$130.00 ,750,Ml,6,"Blend of cider & wine, Cannonau di Sardegna grapes",6,Belgium,,5.43E+12,2.3173E+13,20,80
16318,BEER,Het Boerenerf,Framboos 6x750ml -- last 1!,,$130.00 ,750,Ml,6,Lambic w/ four varieties of local raspberries,6,Belgium,,5.43E+12,2.3173E+13,20,80
16313,BEER,Het Boerenerf,Gueuze 12x375ml,,$95.00 ,375,Ml,12,"Blend of 1-, 2-, and 3-year lambic",6,Belgium,,,2.3222E+13,18,108
16315,BEER,Het Boerenerf,Kweepeer 6x750ml,,$130.00 ,750,Ml,6,"Aromatic, beautiful blend of lambic & quince cider",6,Belgium,,5.43E+12,2.3222E+13,20,80
16319,BEER,Het Boerenerf,Riesling Lambic 6x750ml,,$130.00 ,750,Ml,6,Gorgeous blend of lambic and Riesling wine,6,Belgium,,5.43E+12,2.3173E+13,20,80
16322,BEER,Het Boerenerf,Symbiose 6x750ml,,$155.00 ,750,Ml,6,"Novel blend of lambic, cider, and mead",6,Belgium,,5.43E+12,2.3173E+13,20,80
16984,BEER,Holy Goat,Doom Witch 20L Polykeg -- last 2!,PET,$170.00 ,20,L,1,Whisky BA Flanders red with Scottish strawberries,6,Scotland,S-Type,,,20,40
16976,BEER,Holy Goat,Funk Weapon 12x375mL,,$76.00 ,375,Ml,12,Wild ale w/ Scotch barley & Belgian lambic Brett,5.8,Scotland,,,2.3186E+13,18,90
16979,BEER,Holy Goat,Funk Weapon 20L Polykeg,PET,$160.00 ,20,L,1,Wild ale w/ Scotch barley & Belgian lambic Brett,5.8,Scotland,S-Type,,,20,40
16977,BEER,Holy Goat,Goat & Ram 12x375mL,,$78.00 ,375,Ml,12,"Red wine BA Flanders ale w/ redcurrant, cherry",5.5,Scotland,,,2.3173E+13,18,90
16978,BEER,Holy Goat,Grim Fandango 12x375mL,,$80.00 ,375,Ml,12,Tepache-insp wild ale w/ pineapple & cinnamon,6,Scotland,,,2.3186E+13,18,90
16982,BEER,Holy Goat,Heather Honeybucket 12x375mL,,$80.00 ,375,Ml,12,Golden sour w/ heather honey and elderflowers,6,Scotland,,,,18,90
16974,BEER,Holy Goat,Lemon Crusher 12x375mL,,$78.00 ,375,Ml,12,"Golden wild ale, Scottish barley & Sicilian lemon",5.5,Scotland,,,2.3173E+13,18,90
16983,BEER,Holy Goat,Shrinebuilder 12x375mL,,$72.00 ,375,Ml,12,Juicy golden sour w Belgian lambic Brett.,5.6,Scotland,,,,18,90
16975,BEER,Holy Goat,Spectral Lore 12x375mL,,$80.00 ,375,Ml,12,Juicy Framboise-style w/ tayberries & strawberries,5.5,Scotland,,,2.334E+13,18,90
16980,BEER,Holy Goat,Spectral Lore 20L Polykeg,PET,$180.00 ,20,L,1,Juicy Framboise-style w/ tayberries & strawberries,5.5,Scotland,S-Type,,2.334E+13,20,40
16985,BEER,Holy Goat,Thundercurrant 20L Polykeg,PET,$180.00 ,20,L,1,Juicy golden sour w/ Scottish blackcurrants,5.4,Scotland,S-Type,,,20,40
16812,BEER,Insight Cellars,Copenhagen Commons Noble Nordic 30L KeyKeg,PET,$185.00 ,30,L,1,Session farmhouse loaded with noble hops,4.5,Denmark,KeyKeg,,3275,12,24
16813,BEER,Insight Cellars,Copenhagen Commons Wild Zealand 30L KeyKeg,PET,$200.00 ,30,L,1,Farmhouse pale w/ Danish malts and NZ hops,5.9,Denmark,KeyKeg,,3275,12,24
16810,BEER,Insight Cellars,Alma del Arrumbador 6x750ml,,$128.00 ,750,Ml,6,Danish wild ale aged in Sherry barrels,7.3,Denmark,,,,9,108
16805,BEER,Insight Cellars,Blueberry Press 6x750ml -- last 2!,,$128.00 ,750,Ml,6,Danish wild ale w/ organic blueberries,8.8,Denmark,,,,9,108
16804,BEER,Insight Cellars,Crimson Grange 6x750ml,,$128.00 ,750,Ml,6,"Bourbon BA wild ale w/ cherries, grapes, vanilla",8.8,Denmark,,,,9,108
16806,BEER,Insight Cellars,Existence: Cabernet Sauvignon 6x750ml,,$128.00 ,750,Ml,6,Danish wild ale w/ Bordeaux Cab Sav grapes,9.1,Denmark,,,,9,108
